Year,Municipality,Population,Mortality_per_1000,Infant_mortality_per_1000,Births_per_1000,Unemployed_total,Average_income,Pharmacies_total,Total_crimes,Marriages_per_1000,Divorces_per_1000,Median_price_sqm
2024,Santa Marta De Penaguiao,5949,14.8,0,4.2,339,1030.8,2,95,1.2,0.7,438
2024,Santana,6516,13.1,0,4.9,,1060.2,3,107,5.4,1.7,1023
2024,Santarem,61664,12.7,0,8.4,1516,1301.6,25,1666,3.5,1.7,1137
2024,Santiago Do Cacem,28294,12.8,5.8,6.1,469,1273.1,11,1001,2.5,1.7,1747
2024,Santo Tirso,67713,10.8,0,6.1,2212,1264.1,18,1444,3.6,1.7,1224
2024,Sao Bras De Alportel,11730,10.9,0,6.9,206,1145.4,2,435,23.9,1.7,1937
2024,Sao Joao Da Madeira,24247,8.4,0,5.9,985,1321.5,5,657,6.1,2.4,1224
2024,Sao Joao Da Pesqueira,6743,14.2,25.6,5.8,181,1146.8,3,143,1.8,1.5,325
2024,Sao Pedro Do Sul,15296,17.6,0,5,462,1029.1,9,320,2.2,1.8,772
2024,Sao Roque Do Pico,3461,10.8,0,5.5,,1242,1,85,3.8,2.1,
2024,Sao Vicente,5123,12.1,27,7.3,,1043.7,3,88,2.8,1.8,1041
2024,Sardoal,3638,17.6,0,4.7,104,998.9,2,107,3.6,1.7,569
2024,Satao,11265,13.7,0,6.2,355,1001.5,3,169,2.1,1.4,590
2024,Seia,21410,17.8,0,6.2,647,1081.1,10,774,2,0.9,501
2024,Seixal,176883,9.5,5.2,11,5326,1504.9,39,4548,2.5,1.9,2080
2024,Sernancelhe,5818,14.6,0,4.8,195,1023.2,2,81,1.9,0.3,279
2024,Serpa,13673,17.7,0,6.6,622,1102.1,5,422,2.9,1.7,661
2024,Serta,14983,15.3,0,5.6,465,1083.9,4,490,3.1,2,808
2024,Sesimbra,56576,10.2,2.3,7.7,1380,1166.5,8,2092,5.6,1.3,2262
2024,Setubal,124339,11.6,1.8,8.9,4364,1429.1,30,4226,6.3,2,1985
2024,Sever Do Vouga,11023,13.4,0,7.8,158,1292.3,5,271,0.8,1.4,639
2024,Silves,40309,13.8,0,9.2,1343,1215.8,11,1753,2.8,1.4,2333
2024,Sines,14796,11.3,0,7.7,423,2180.8,3,886,3.5,1,1993
2024,Sintra,400947,8.3,4.1,11.1,11136,1439.5,69,11383,3.1,1.6,2205
2024,Sobral De Monte Agraco,12214,10.3,0,7.7,184,1156.1,3,403,6.9,1.4,1291
2024,Soure,17302,17.2,0,4.9,330,1236,9,250,2.3,1.5,713
2024,Sousel,4403,20.4,0,5.7,165,1127.5,4,134,2.5,0.5,526
2024,Tabua,11784,14.1,0,7.4,344,1159.4,5,253,2.2,1.9,553
2024,Tabuaco,5031,13.3,0,3.6,265,1152.5,3,89,3,1.2,269
2024,Tarouca,7704,13.1,0,5.4,457,1074,2,127,3.4,1.7,630
2024,Tavira,28280,13.1,0,6.5,610,1125,11,1314,2.3,1.5,2801
2024,Terras De Bouro,6356,15.9,0,5.3,211,1141.7,3,206,3.3,1.6,761
2024,Tomar,37039,15.2,0,6,851,1199.7,14,1143,1.4,1.7,907
2024,Tondela,25957,14.8,0,5.5,637,1306.3,13,578,1.9,1.5,562
2024,Torre De Moncorvo,6638,27.5,0,3.1,315,1036.1,3,230,2.2,1.8,318
2024,Torres Novas,34986,14.3,0,6.7,905,1298.5,12,1036,3,1.9,878
2024,Torres Vedras,89526,10,0,8.3,2017,1232.8,24,2300,3.3,1.6,1755
2024,Trancoso,8402,17.9,0,4.5,91,1131.1,6,173,3.6,1.9,417
2024,Trofa,40294,7.9,6.5,7.6,1125,1342.4,8,719,2.6,1.4,1446
2024,Vagos,25167,11.3,5.2,7.8,478,1275.4,7,554,3.7,1.1,1286
2024,Vale De Cambra,21239,13,0,6.8,345,1367.5,6,611,5.1,1.7,1026
2024,Valenca,14297,13.7,0,7.1,498,1158,3,524,2.5,1.2,888
2024,Valongo,101464,8,1.4,7.1,3232,1308.4,18,2159,4.8,2,1715
2024,Valpacos,14532,19,0,4.7,505,1006.7,7,449,2.7,0.9,421
2024,Velas,4949,16,0,5.5,,1146,2,118,3,2.2,667
2024,Vendas Novas,11591,16.5,20,8.6,293,1248.7,4,334,4.2,1.7,1286
2024,Viana Do Alentejo,5592,16.4,0,7.2,125,1091,4,200,3.8,1.4,711
2024,Viana Do Castelo,86975,11.1,3.2,7.3,1963,1341.1,27,2520,3.9,1.8,1472
2024,Vidigueira,5261,20,0,5.9,239,1219,2,190,2.7,0.6,604
2024,Vieira Do Minho,12067,12.7,0,4.1,452,1021.5,4,266,2.5,1.7,538
2024,Vila Da Praia Da Vitoria,19862,9.8,0,7.3,,1239.7,6,592,2.9,2,1031
2024,Vila De Rei,3455,24.1,0,5.5,71,1007.7,1,62,2,1.5,457
2024,Vila Do Bispo,6048,13.2,0,8.5,169,1120.4,2,356,7.5,1,2961
2024,Vila Do Conde,85871,8.9,1.7,7,2379,1363.8,18,2229,5.4,1.9,1886
2024,Vila Do Porto,5504,12.5,0,7.6,,2142.2,2,134,4.2,2.4,1188
2024,Vila Flor,6022,18.4,0,4.8,247,1106.8,2,153,1.7,1.2,368
2024,Vila Franca De Xira,140711,8.4,1.5,9.6,4275,1475.2,29,3321,2.7,1.5,2086
2024,Vila Franca Do Campo,10368,10.1,0,7.8,,1057.4,2,263,1.9,1.3,1107
2024,Vila Nova Da Barquinha,8032,12.6,0,8.9,177,1117.3,3,215,10.4,1.3,1001
2024,Vila Nova De Cerveira,9425,14.8,0,7.5,262,1317.9,3,330,3.5,1.8,864
2024,Vila Nova De Famalicao,136704,9,0.9,8.1,3803,1347.6,29,2757,3,1.7,1349
2024,Vila Nova De Foz Coa,6383,15.4,0,4.2,169,1097.8,4,239,2,1.4,406
2024,Vila Nova De Gaia,312984,9.4,4.4,7.3,10991,1392.3,66,8217,3,1.9,1912
2024,Vila Nova De Paiva,4836,12.3,0,5.2,119,1048.4,1,79,3.8,1.7,519
2024,Vila Nova De Poiares,7261,15.4,0,8.5,182,1178.4,2,141,4.4,1.8,684
2024,Vila Pouca De Aguiar,11819,15,0,4.1,411,1061.5,4,251,1.6,1.6,767
2024,Vila Real,50043,10.6,0,6.1,2353,1308.6,16,1205,3.3,1.9,1149
2024,Vila Real De Santo Antonio,19546,12.8,0,7.9,582,1179.5,5,939,2.9,1.5,2491
2024,Vila Velha De Rodao,3577,22.3,0,6.5,79,1547.3,1,119,0.6,0.6,283
2024,Vila Verde,48701,9.3,2.6,8.1,1150,1096.1,11,1308,3.4,1.4,1155
2024,Vila Vicosa,7267,15.4,0,4.4,150,1254.9,5,192,3,1.5,534
2024,Vimioso,4174,20.8,0,4.1,98,1006.4,3,108,3.4,1.2,311
2024,Vinhais,7355,20.9,0,3.4,275,998.2,3,141,0.7,0.9,379
2024,Viseu,103502,10.5,3.7,7.8,2721,1255,26,2671,2.8,2,1152
2024,Vizela,24688,7.1,0,8.4,962,1104.9,4,411,2.4,1.6,1127
2024,Vouzela,9807,13.3,0,4.9,202,1127.6,4,234,2.4,1.3,516
